date,ticker,adv
1999-01-04,ERIC,242094007.6468309
1999-01-05,ERIC,242341062.9642912
1999-01-06,ERIC,242430312.60714835
1999-01-07,ERIC,241457119.87143403
1999-01-08,ERIC,241235716.61508486
1999-01-11,ERIC,240648622.00714836
1999-01-12,ERIC,240131426.60476738
1999-01-13,ERIC,240073972.73571977
1999-01-14,ERIC,239233488.8865134
1999-01-15,ERIC,238309357.3785769
1999-01-19,ERIC,237361814.48175153
1999-01-20,ERIC,236435663.3706404
1999-01-21,ERIC,236395399.5611166
1999-01-22,ERIC,236209523.2515928
1999-01-25,ERIC,236024523.94603723
1999-01-26,ERIC,235690341.5254023
1999-01-27,ERIC,235609173.39048168
1999-01-28,ERIC,236023298.94603723
1999-01-29,ERIC,235004628.23175153
1999-02-01,ERIC,235534011.62460867
1999-02-02,ERIC,235229842.97381502
1999-02-03,ERIC,234703319.1642912
1999-02-04,ERIC,233441177.04365626
1999-02-05,ERIC,232325481.80556104
1999-02-08,ERIC,231915556.13095787
1999-02-09,ERIC,231841969.48413247
1999-02-10,ERIC,232117272.8174658
1999-02-11,ERIC,232239957.10318008
1999-02-12,ERIC,230920691.4642912
1999-02-16,ERIC,231089479.42143404
1999-02-17,ERIC,230692411.05000547
1999-02-18,ERIC,230663411.32619596
1999-02-19,ERIC,229926287.04048166
1999-02-22,ERIC,229342053.72619596
1999-02-23,ERIC,228691287.61508486
1999-02-24,ERIC,228116529.0388944
1999-02-25,ERIC,227116479.05873564
1999-02-26,ERIC,226994617.30397376
1999-03-01,ERIC,225960990.9500055
1999-03-02,ERIC,225205405.53333884
1999-03-03,ERIC,224692620.05714837
1999-03-04,ERIC,225015792.78016424
1999-03-05,ERIC,225229725.28016424
1999-03-08,ERIC,224932413.37540233
1999-03-09,ERIC,225505007.93968803
1999-03-10,ERIC,226650272.46191025
1999-03-11,ERIC,227744350.99365628
1999-03-12,ERIC,227752846.94603723
1999-03-15,ERIC,228289972.4222277
1999-03-16,ERIC,228895604.56508484
1999-03-17,ERIC,229362924.64444992
1999-03-18,ERIC,229098263.07937056
1999-03-19,ERIC,229757177.9206404
1999-03-22,ERIC,230423220.5388944
1999-03-23,ERIC,232017696.72937056
1999-03-24,ERIC,233412965.657942
1999-03-25,ERIC,235535222.84048167
1999-03-26,ERIC,235763662.84048167
1999-03-29,ERIC,235882142.5031801
1999-03-30,ERIC,235803700.4000055
1999-03-31,ERIC,235891951.5111166
1999-04-01,ERIC,234878720.01270393
1999-04-05,ERIC,234867328.51984677
1999-04-06,ERIC,233463098.02064043
1999-04-07,ERIC,233093716.47302136
1999-04-08,ERIC,232945487.9015928
1999-04-09,ERIC,232804361.3650849
1999-04-12,ERIC,233091385.40635473
1999-04-13,ERIC,232949567.11270392
1999-04-14,ERIC,233299816.29921186
1999-04-15,ERIC,233432621.5968309
1999-04-16,ERIC,233163431.06191027
1999-04-19,ERIC,232454250.66508487
1999-04-20,ERIC,232183379.82222772
1999-04-21,ERIC,232528290.1000055
1999-04-22,ERIC,233853782.48095787
1999-04-23,ERIC,233947421.2111166
1999-04-26,ERIC,233797391.33016422
1999-04-27,ERIC,234083875.77460867
1999-04-28,ERIC,233844247.94921184
1999-04-29,ERIC,231486433.20714834
1999-04-30,ERIC,230941321.77857694
1999-05-03,ERIC,230945385.76667216
1999-05-04,ERIC,230554404.17937058
1999-05-05,ERIC,229701237.61191025
1999-05-06,ERIC,229203835.5484182
1999-05-07,ERIC,228837937.21508485
1999-05-10,ERIC,228380664.4174658
1999-05-11,ERIC,228442699.23889437
1999-05-12,ERIC,228504753.34683087
1999-05-13,ERIC,228288212.47381502
1999-05-14,ERIC,228309439.81508484
1999-05-17,ERIC,228052904.18968803
1999-05-18,ERIC,227579553.49524358
1999-05-19,ERIC,227589668.15238643
1999-05-20,ERIC,227076981.5674658
1999-05-21,ERIC,226613767.34127533
1999-05-24,ERIC,226715173.76984674
1999-05-25,ERIC,226934148.49206898
1999-05-26,ERIC,226789134.44444993
1999-05-27,ERIC,227303721.70635468
1999-05-28,ERIC,227673863.96825945
1999-06-01,ERIC,227162477.18254516
1999-06-02,ERIC,227051545.3174658
1999-06-03,ERIC,227371773.31349754
1999-06-04,ERIC,227468751.84524357
1999-06-07,ERIC,227828393.6706404
1999-06-08,ERIC,227760738.0158785
1999-06-09,ERIC,227686721.52778324
1999-06-10,ERIC,227399977.4206404
1999-06-11,ERIC,227129323.49206898
1999-06-14,ERIC,226219162.77778324
1999-06-15,ERIC,225589893.43254516
1999-06-16,ERIC,225073380.01984674
1999-06-17,ERIC,224474132.32143405
1999-06-18,ERIC,223804828.90873563
1999-06-21,ERIC,223248030.05952927
1999-06-22,ERIC,223100085.17857692
1999-06-23,ERIC,222534577.71825945
1999-06-24,ERIC,222119571.09127533
1999-06-25,ERIC,221817266.7658785
1999-06-28,ERIC,222390749.48413247
1999-06-29,ERIC,222312650.7142912
1999-06-30,ERIC,222539361.78571975
1999-07-01,ERIC,221968131.70635468
1999-07-02,ERIC,222451623.2142912
1999-07-06,ERIC,222660607.65873563
1999-07-07,ERIC,228247821.58730707
1999-07-08,ERIC,230692407.77778324
1999-07-09,ERIC,232216126.82540232
1999-07-12,ERIC,232776855.99206898
1999-07-13,ERIC,233446471.40873563
1999-07-14,ERIC,233775699.8611166
1999-07-15,ERIC,233567608.55159277
1999-07-16,ERIC,233719952.023815
1999-07-19,ERIC,233844520.01984674
1999-07-20,ERIC,234146637.44048166
1999-07-21,ERIC,234376793.94841817
1999-07-22,ERIC,234883005.09921184
1999-07-23,ERIC,237539832.14286262
1999-07-26,ERIC,237615258.8690531
1999-07-27,ERIC,232836902.57937056
1999-07-28,ERIC,229832211.21032295
1999-07-29,ERIC,228054562.63889438
1999-07-30,ERIC,226746217.50000548
1999-08-02,ERIC,226113919.28571975
1999-08-03,ERIC,225883682.59921184
1999-08-04,ERIC,225297662.91667214
1999-08-05,ERIC,224260796.8849261
1999-08-06,ERIC,223909080.43651342
1999-08-09,ERIC,223398285.55556104
1999-08-10,ERIC,223348883.273815
1999-08-11,ERIC,222666646.07143405
1999-08-12,ERIC,221823382.50000548
1999-08-13,ERIC,221323730.1190531
1999-08-16,ERIC,219739374.42460865
1999-08-17,ERIC,218644339.1468309
1999-08-18,ERIC,217104842.67857692
1999-08-19,ERIC,217236007.30159277
1999-08-20,ERIC,217839556.13095787
1999-08-23,ERIC,220028750.9127039
1999-08-24,ERIC,221506576.42857692
1999-08-25,ERIC,222033483.55159277
1999-08-26,ERIC,222946394.58333883
1999-08-27,ERIC,223681409.94048166
1999-08-30,ERIC,225093016.19048166
1999-08-31,ERIC,225268414.60318008
1999-09-01,ERIC,224400518.29365626
1999-09-02,ERIC,224232338.29365626
1999-09-03,ERIC,223469147.32143405
1999-09-07,ERIC,223136548.43254516
1999-09-08,ERIC,222794852.00397372
1999-09-09,ERIC,222531951.60714835
1999-09-10,ERIC,223003696.7658785
1999-09-13,ERIC,223742315.41667214
1999-09-14,ERIC,223957734.56349754
1999-09-15,ERIC,224090686.94444993
1999-09-16,ERIC,223417953.5317515
1999-09-17,ERIC,222824718.90873563
1999-09-20,ERIC,222877552.04365626
1999-09-21,ERIC,222997501.05159277
1999-09-22,ERIC,222913722.18254516
1999-09-23,ERIC,222136047.26191023
1999-09-24,ERIC,222553219.1269896
1999-09-27,ERIC,222989746.9047674
1999-09-28,ERIC,223973469.1269896
1999-09-29,ERIC,223815465.15873563
1999-09-30,ERIC,223603771.4881007
1999-10-01,ERIC,223630987.79762453
1999-10-04,ERIC,223196548.59127533
1999-10-05,ERIC,223221323.0158785
1999-10-06,ERIC,223296032.6190531
1999-10-07,ERIC,223474229.007942
1999-10-08,ERIC,224154403.6111166
1999-10-11,ERIC,224963788.1547674
1999-10-12,ERIC,224982357.44048166
1999-10-13,ERIC,225467787.77778324
1999-10-14,ERIC,225920757.14286262
1999-10-15,ERIC,225073460.03968802
1999-10-18,ERIC,225254676.0317515
1999-10-19,ERIC,225329174.08730707
1999-10-20,ERIC,225407139.08730707
1999-10-21,ERIC,226187854.9206404
1999-10-22,ERIC,233606003.37302136
1999-10-25,ERIC,234850210.41667214
1999-10-26,ERIC,236398179.56349754
1999-10-27,ERIC,237117777.67857692
1999-10-28,ERIC,237112311.70635468
1999-10-29,ERIC,238975995.05952927
1999-11-01,ERIC,239806940.01984674
1999-11-02,ERIC,240063585.73413247
1999-11-03,ERIC,240296907.91667214
1999-11-04,ERIC,240023919.54365626
1999-11-05,ERIC,239688504.0674658
1999-11-08,ERIC,240241979.62302136
1999-11-09,ERIC,240499478.82937056
1999-11-10,ERIC,240615178.55159277
1999-11-11,ERIC,241096328.35318008
1999-11-12,ERIC,241812152.38095787
1999-11-15,ERIC,242085358.19444993
1999-11-16,ERIC,242691168.59127533
1999-11-17,ERIC,243475070.67460865
1999-11-18,ERIC,245974535.9127039
1999-11-19,ERIC,247279235.43651342
1999-11-22,ERIC,248109271.19048166
1999-11-23,ERIC,248656783.59127533
1999-11-24,ERIC,248754494.88095787
1999-11-26,ERIC,249144391.1706404
1999-11-29,ERIC,250002852.18254516
1999-11-30,ERIC,250577490.09921184
1999-12-01,ERIC,251435244.74206898
1999-12-02,ERIC,251281263.75000548
1999-12-03,ERIC,251560325.67460865
1999-12-06,ERIC,253610711.38889438
1999-12-07,ERIC,254831241.82540232
1999-12-08,ERIC,260764055.33730707
1999-12-09,ERIC,264691076.44841817
1999-12-10,ERIC,263076706.21032295
1999-12-13,ERIC,262559793.37302136
1999-12-14,ERIC,263966861.38889438
1999-12-15,ERIC,265678438.6111166
1999-12-16,ERIC,267290400.43651342
1999-12-17,ERIC,268666879.80159277
1999-12-20,ERIC,269738781.46825945
1999-12-21,ERIC,270132333.055561
1999-12-22,ERIC,270689495.25794196
1999-12-23,ERIC,270983943.4722277
1999-12-27,ERIC,271531570.6547674
1999-12-28,ERIC,271869437.3611166
1999-12-29,ERIC,274852587.51984674
1999-12-30,ERIC,275909448.2341324
1999-12-31,ERIC,276629976.5277832
2000-01-03,ERIC,279323111.36905307
2000-01-04,ERIC,281782538.4325451
2000-01-05,ERIC,285428748.2539737
2000-01-06,ERIC,287988526.03175145
2000-01-07,ERIC,291992881.92460865
2000-01-10,ERIC,294100439.08730704
2000-01-11,ERIC,295057920.0000054
2000-01-12,ERIC,295377674.7222277
2000-01-13,ERIC,297106375.07937056
2000-01-14,ERIC,298319161.6666721
2000-01-18,ERIC,299635889.22619593
2000-01-19,ERIC,301285212.7381007
2000-01-20,ERIC,302101399.6627039
2000-01-21,ERIC,302812642.539688
2000-01-24,ERIC,306361458.01587844
2000-01-25,ERIC,307330770.51587844
2000-01-26,ERIC,307857070.6150848
2000-01-27,ERIC,308151466.05159277
2000-01-28,ERIC,314953517.6388943
2000-01-31,ERIC,319208344.9007991
2000-02-01,ERIC,326254487.8571483
2000-02-02,ERIC,331188200.99206895
2000-02-03,ERIC,336396074.5634975
2000-02-04,ERIC,340029318.15476733
2000-02-07,ERIC,341605928.8492118
2000-02-08,ERIC,343843295.25794196
2000-02-09,ERIC,349004078.35318005
2000-02-10,ERIC,351594182.55952924
2000-02-11,ERIC,354226336.289688
2000-02-14,ERIC,356584451.3492118
2000-02-15,ERIC,360123948.53175145
2000-02-16,ERIC,364278693.53175145
2000-02-17,ERIC,367604216.13095784
2000-02-18,ERIC,371194737.0833388
2000-02-22,ERIC,375074950.6150848
2000-02-23,ERIC,378692881.68651336
2000-02-24,ERIC,382551381.6666721
2000-02-25,ERIC,389827452.51984674
2000-02-28,ERIC,396347959.3452436
2000-02-29,ERIC,399702702.9563547
2000-03-01,ERIC,403051582.7182594
2000-03-02,ERIC,406209627.8571483
2000-03-03,ERIC,406661704.6825451
2000-03-06,ERIC,408273964.6428626
2000-03-07,ERIC,410847248.9285769
2000-03-08,ERIC,412414903.29365623
2000-03-09,ERIC,412667838.3333388
2000-03-10,ERIC,415309428.9682594
2000-03-13,ERIC,417432357.0833388
2000-03-14,ERIC,419867951.4881007
2000-03-15,ERIC,423845465.39683086
2000-03-16,ERIC,426398332.2023864
2000-03-17,ERIC,427712365.6150848
2000-03-20,ERIC,429757636.36905307
2000-03-21,ERIC,431154215.8134975
2000-03-22,ERIC,433424520.8134975
2000-03-23,ERIC,431948242.9563547
2000-03-24,ERIC,436303424.523815
2000-03-27,ERIC,438386760.5952436
2000-03-28,ERIC,441580089.1666721
2000-03-29,ERIC,447439049.60318005
2000-03-30,ERIC,453559950.39683086
2000-03-31,ERIC,459178019.32540226
2000-04-03,ERIC,464152036.8650848
2000-04-04,ERIC,471981225.6349261
2000-04-05,ERIC,476218273.4127039
2000-04-06,ERIC,479113790.39683086
2000-04-07,ERIC,481685981.82540226
2000-04-10,ERIC,483873946.82540226
2000-04-11,ERIC,488749089.9801642
2000-04-12,ERIC,492227853.15476733
2000-04-13,ERIC,495706842.83730704
2000-04-14,ERIC,500211710.2381007
2000-04-17,ERIC,504547858.9682594
2000-04-18,ERIC,507389659.4444499
2000-04-19,ERIC,507780111.19048166
2000-04-20,ERIC,509927250.555561
2000-04-24,ERIC,513192659.9007991
2000-04-25,ERIC,514360249.1269896
2000-04-26,ERIC,516010770.9523864
2000-04-27,ERIC,522874471.0912753
2000-04-28,ERIC,532388003.2341324
2000-05-01,ERIC,536108433.571434
2000-05-02,ERIC,540444022.9365134
2000-05-03,ERIC,543217121.8452436
2000-05-04,ERIC,544904589.9404817
2000-05-05,ERIC,547297031.2500055
2000-05-08,ERIC,547313351.4285768
2000-05-09,ERIC,548371144.5833387
2000-05-10,ERIC,550577716.3293705
2000-05-11,ERIC,552500992.2023864
2000-05-12,ERIC,555267902.6785768
2000-05-15,ERIC,557185526.4087356
2000-05-16,ERIC,564012283.1746086
2000-05-17,ERIC,566453307.6984181
2000-05-18,ERIC,569058001.6865134
2000-05-19,ERIC,572973888.8888943
2000-05-22,ERIC,576796999.1269896
2000-05-23,ERIC,578348479.6428626
2000-05-24,ERIC,581537416.7857198
2000-05-25,ERIC,583093885.039688
2000-05-26,ERIC,583862051.5873071
2000-05-30,ERIC,587675015.8730214
2000-05-31,ERIC,589830180.8730214
2000-06-01,ERIC,595809208.8293705
2000-06-02,ERIC,599989656.7658784
2000-06-05,ERIC,601481931.7658784
2000-06-06,ERIC,605791084.8809578
2000-06-07,ERIC,607891851.3293705
2000-06-08,ERIC,609900027.8769896
2000-06-09,ERIC,610931140.2976245
2000-06-12,ERIC,612172553.8690531
2000-06-13,ERIC,614024661.2500055
2000-06-14,ERIC,615884548.1547674
2000-06-15,ERIC,618392033.6309578
2000-06-16,ERIC,620936097.9166721
2000-06-19,ERIC,622712061.7261959
2000-06-20,ERIC,625068636.805561
2000-06-21,ERIC,628870352.3611165
2000-06-22,ERIC,633225620.5357198
2000-06-23,ERIC,636932394.6230214
2000-06-26,ERIC,639054562.3809578
2000-06-27,ERIC,641136426.9444499
2000-06-28,ERIC,643205717.4206403
2000-06-29,ERIC,646169178.9285768
2000-06-30,ERIC,648121245.5158784
2000-07-03,ERIC,648144370.039688
2000-07-05,ERIC,643995816.8650848
2000-07-06,ERIC,643632626.3888943
2000-07-07,ERIC,644883603.6904817
2000-07-10,ERIC,645798590.3571483
2000-07-11,ERIC,647698983.5515927
2000-07-12,ERIC,649511985.2182595
2000-07-13,ERIC,652762172.0039737
2000-07-14,ERIC,654740171.3690531
2000-07-17,ERIC,657194210.1190531
2000-07-18,ERIC,658510404.0873071
2000-07-19,ERIC,659837430.5754023
2000-07-20,ERIC,663558869.0277833
2000-07-21,ERIC,674358150.039688
2000-07-24,ERIC,676753163.6111165
2000-07-25,ERIC,677790629.5039737
2000-07-26,ERIC,678769614.1269896
2000-07-27,ERIC,683577443.4920689
2000-07-28,ERIC,686696200.4365134
2000-07-31,ERIC,688680272.1825452
2000-08-01,ERIC,689738574.5833387
2000-08-02,ERIC,691964486.0119102
2000-08-03,ERIC,697299991.9246086
2000-08-04,ERIC,699176052.9960372
2000-08-07,ERIC,700451712.9960372
2000-08-08,ERIC,701488420.0992118
2000-08-09,ERIC,703613050.5158784
2000-08-10,ERIC,705137556.9444499
2000-08-11,ERIC,705271071.9444499
2000-08-14,ERIC,706545272.2222277
2000-08-15,ERIC,707493230.4761959
2000-08-16,ERIC,708286459.3254023
2000-08-17,ERIC,709496658.9682595
2000-08-18,ERIC,709392758.1746086
2000-08-21,ERIC,707298164.2658784
2000-08-22,ERIC,706961950.1785768
2000-08-23,ERIC,707943991.6468308
2000-08-24,ERIC,709038555.85318
2000-08-25,ERIC,708544475.3373071
2000-08-28,ERIC,707773314.7222277
2000-08-29,ERIC,708620311.7063546
2000-08-30,ERIC,708791359.5634975
2000-08-31,ERIC,710385681.4087356
2000-09-01,ERIC,711534157.10318
2000-09-05,ERIC,712931833.1944499
2000-09-06,ERIC,713987819.305561
2000-09-07,ERIC,715319673.35318
2000-09-08,ERIC,716096488.8293705
2000-09-11,ERIC,717236833.6309578
2000-09-12,ERIC,718492618.055561
2000-09-13,ERIC,719194989.9603229
2000-09-14,ERIC,720480201.0317515
2000-09-15,ERIC,723122336.4484181
2000-09-18,ERIC,724788723.0357198
2000-09-19,ERIC,726299584.5436562
2000-09-20,ERIC,728427237.8174658
2000-09-21,ERIC,736357913.8492118
2000-09-22,ERIC,740092566.1507992
2000-09-25,ERIC,744352706.0317515
2000-09-26,ERIC,746530255.2381006
2000-09-27,ERIC,748140884.2857198
2000-09-28,ERIC,750272404.3452436
2000-09-29,ERIC,753809889.9801642
2000-10-02,ERIC,756762989.4246086
2000-10-03,ERIC,758678252.2817515
2000-10-04,ERIC,759705475.0595293
2000-10-05,ERIC,760297258.3928626
2000-10-06,ERIC,760086840.2976245
2000-10-09,ERIC,759766014.1468308
2000-10-10,ERIC,760959254.1468308
2000-10-11,ERIC,762104150.8730214
2000-10-12,ERIC,762868006.3095293
2000-10-13,ERIC,764742818.5317515
2000-10-16,ERIC,764682569.4841324
2000-10-17,ERIC,766067740.555561
2000-10-18,ERIC,767693421.9841324
2000-10-19,ERIC,770205789.4841324
2000-10-20,ERIC,769672806.7063546
2000-10-23,ERIC,769605609.7222277
2000-10-24,ERIC,769517963.2142912
2000-10-25,ERIC,769334374.9404817
2000-10-26,ERIC,768891514.60318
2000-10-27,ERIC,767050231.1904817
2000-10-30,ERIC,766640813.6111165
2000-10-31,ERIC,767908752.4603229
2000-11-01,ERIC,768261696.3492118
2000-11-02,ERIC,768293580.7539737
2000-11-03,ERIC,768654977.8968308
2000-11-06,ERIC,771030436.2698467
2000-11-07,ERIC,771987573.1746086
2000-11-08,ERIC,772303138.6507992
2000-11-09,ERIC,772633024.8412753
2000-11-10,ERIC,773369656.507942
2000-11-13,ERIC,774016747.3611165
2000-11-14,ERIC,774371195.85318
2000-11-15,ERIC,773755686.1706403
2000-11-16,ERIC,771547040.8928626
2000-11-17,ERIC,770709367.8769896
2000-11-20,ERIC,770267915.9722277
2000-11-21,ERIC,770223402.5793705
2000-11-22,ERIC,770418471.7460372
2000-11-24,ERIC,770014848.2341324
2000-11-27,ERIC,770392828.2142912
2000-11-28,ERIC,770320141.6468308
2000-11-29,ERIC,769746818.789688
2000-11-30,ERIC,769397301.6468308
2000-12-01,ERIC,769531704.4246086
2000-12-04,ERIC,767416578.3730214
2000-12-05,ERIC,768249645.7936562
2000-12-06,ERIC,762924303.7500055
2000-12-07,ERIC,759455783.9087356
2000-12-08,ERIC,758352823.3134975
2000-12-11,ERIC,757954857.2817515
2000-12-12,ERIC,756978149.007942
2000-12-13,ERIC,755924237.3412753
2000-12-14,ERIC,754595368.2142912
2000-12-15,ERIC,754359924.4047674
2000-12-18,ERIC,753730472.3412753
2000-12-19,ERIC,753989036.7857198
2000-12-20,ERIC,754820777.9166721
2000-12-21,ERIC,755410520.0992118
2000-12-22,ERIC,755878947.9960372
2000-12-26,ERIC,755777069.0674658
2000-12-27,ERIC,753205037.9563546
2000-12-28,ERIC,752617484.8611165
2000-12-29,ERIC,752434176.9246086
2001-01-02,ERIC,749580388.9881006
2001-01-03,ERIC,748723233.9881006
2001-01-04,ERIC,745464632.3015927
2001-01-05,ERIC,743444313.8095293
2001-01-08,ERIC,739564816.7857198
2001-01-09,ERIC,738935268.3333387
2001-01-10,ERIC,739405825.1190531
2001-01-11,ERIC,741728217.10318
2001-01-12,ERIC,742488625.1190531
2001-01-16,ERIC,742243842.1825452
2001-01-17,ERIC,742282726.3095293
2001-01-18,ERIC,742291461.8452436
2001-01-19,ERIC,742355051.1111165
2001-01-22,ERIC,741980906.5277833
2001-01-23,ERIC,739231243.35318
2001-01-24,ERIC,739391287.0039737
2001-01-25,ERIC,744810432.8174658
2001-01-26,ERIC,751016072.3809578
2001-01-29,ERIC,745736251.4285768
2001-01-30,ERIC,743413396.3492118
2001-01-31,ERIC,737683146.1111165
2001-02-01,ERIC,733371435.0793705
2001-02-02,ERIC,728544348.7301642
2001-02-05,ERIC,725162833.9682595
2001-02-06,ERIC,724759614.7817515
2001-02-07,ERIC,723518844.305561
2001-02-08,ERIC,718340008.9881006
2001-02-09,ERIC,718113821.1309578
2001-02-12,ERIC,716039190.4960372
2001-02-13,ERIC,714542699.0674658
2001-02-14,ERIC,711622173.4722277
2001-02-15,ERIC,708392759.5833387
2001-02-16,ERIC,705918174.7619102
2001-02-20,ERIC,702622411.1111165
2001-02-21,ERIC,699236876.3888943
2001-02-22,ERIC,696553711.8650848
2001-02-23,CHKP,696227813.4164734
2001-02-26,CHKP,696757311.6950449
2001-02-27,CHKP,697652204.0057591
2001-02-28,CHKP,701292792.8498068
2001-03-01,CHKP,704588070.0521877
2001-03-02,CHKP,708306401.5006005
2001-03-05,CHKP,711439768.0482194
2001-03-06,CHKP,714668114.4946481
2001-03-07,CHKP,716296590.6875052
2001-03-08,CHKP,716148399.2192513
2001-03-09,CHKP,719318186.3198465
2001-03-12,CHKP,723128939.6769893
2001-03-13,CHKP,725772308.5341322
2001-03-14,CHKP,727653572.7404814
2001-03-15,CHKP,728288858.3057592
2001-03-16,CHKP,728769233.8759974
2001-03-19,CHKP,731661277.5347276
2001-03-20,CHKP,732414160.292664
2001-03-21,CHKP,732698440.292664
2001-03-22,CHKP,735468552.4833386
2001-03-23,CHKP,737224133.7333386
2001-03-26,CHKP,737942222.516275
2001-03-27,CHKP,739857975.6432592
2001-03-28,CHKP,742133871.0797671
2001-03-29,CHKP,743653251.2464339
2001-03-30,CHKP,742820560.5718306
2001-04-02,CHKP,741960630.0009973
2001-04-03,CHKP,743225589.9585369
2001-04-04,CHKP,741379782.6982194
2001-04-05,CHKP,740778693.6214337
2001-04-06,CHKP,742445318.4089338
2001-04-09,CHKP,742864670.1906798
2001-04-10,CHKP,745439403.9170686
2001-04-11,CHKP,747661677.8178623
2001-04-12,CHKP,746785907.0779812
2001-04-16,CHKP,746860113.3345288
2001-04-17,CHKP,747450983.029767
2001-04-18,CHKP,750073174.0636955
2001-04-19,CHKP,753782134.9208384
2001-04-20,CHKP,756205080.6938542
2001-04-23,CHKP,758947414.003378
2001-04-24,CHKP,767050364.6277828
2001-04-25,CHKP,768670754.4730209
2001-04-26,CHKP,769415362.2111161
2001-04-27,CHKP,769691406.7928622
2001-04-30,CHKP,771440037.262505
2001-05-01,CHKP,773083975.5825447
2001-05-02,CHKP,775306776.2468305
2001-05-03,CHKP,774717249.0813541
2001-05-04,CHKP,775562014.3932589
2001-05-07,CHKP,775865553.3218304
2001-05-08,CHKP,778190892.8063542
2001-05-09,CHKP,779441636.1555606
2001-05-10,CHKP,780431677.4531796
2001-05-11,CHKP,781436314.5281796
2001-05-14,CHKP,782369861.9488145
2001-05-15,CHKP,783893455.5916717
2001-05-16,CHKP,789364657.9289732
2001-05-17,CHKP,791916810.0063542
2001-05-18,CHKP,792962968.7563542
2001-05-21,CHKP,795525386.4825447
2001-05-22,CHKP,796345650.3515923
2001-05-23,CHKP,797209512.315878
2001-05-24,CHKP,796566635.315878
2001-05-25,CHKP,795095597.3833383
2001-05-29,CHKP,796169204.6256002
2001-05-30,CHKP,795853467.5220287
2001-05-31,CHKP,795218950.0456399
2001-06-01,CHKP,794858939.6527828
2001-06-04,CHKP,795811918.4027828
2001-06-05,CHKP,797346425.4742113
2001-06-06,CHKP,798828582.3339335
2001-06-07,CHKP,798347659.8504018
2001-06-08,CHKP,797578744.1595287
2001-06-11,CHKP,798553116.6916716
2001-06-12,CHKP,799599954.1134969
2001-06-13,CHKP,799349839.597624
2001-06-14,CHKP,800449267.6696477
2001-06-15,CHKP,801721981.9416715
2001-06-18,CHKP,802162017.7843302
2001-06-19,CHKP,802403630.308735
2001-06-20,CHKP,802811805.9238143
2001-06-21,CHKP,803451471.7571477
2001-06-22,CHKP,801268045.0428619
2001-06-25,CHKP,799399837.2968302
2001-06-26,CHKP,798986386.106354
2001-06-27,CHKP,800196956.0968302
2001-06-28,CHKP,801041844.7299651
2001-06-29,CHKP,800513584.4152826
2001-07-02,CHKP,799162314.5343302
